consumidor_id,cpf_cnpj,nome,data_nascimento,perfil,divida_id,codigo_contrato,data_origem,valor_vencido,valor_multa,valor_juros,produto,loja,Opcoes_Pagamento
1,64434317075,Mauricio Costa,25/09/1989,Devedor Contumaz,75173,50010001,15/11/2020,"2263,08","45,26","5446,55",Empréstimo,Loja 1,"[{""opcao_pagamento_id"": 278407055, ""valor_entrada"": 0, ""valor_parcela"": ""460,09"", ""valor_desconto"": ""7336,86"", ""valor_negociado"": ""7796,95"", ""quantidade_parcelas"": 1, ""data_primeiro_boleto"": ""31/08/2024""}, {""opcao_pagamento_id"": 278407060, ""valor_entrada"": 0, ""valor_parcela"": ""126,09"", ""valor_desconto"": ""7040,39"", ""valor_negociado"": ""7796,95"", ""quantidade_parcelas"": 6, ""data_primeiro_boleto"": ""31/08/2024""}, {""opcao_pagamento_id"": 278407066, ""valor_entrada"": 0, ""valor_parcela"": ""63,05"", ""valor_desconto"": ""7040,39"", ""valor_negociado"": ""7796,95"", ""quantidade_parcelas"": 12, ""data_primeiro_boleto"": ""31/08/2024""}]"
2,34823183010,Naiara Silva,18/09/1992,Neutro,82308,50010002,15/11/2020,"2388,87","47,78","5749,28",Empréstimo,Loja 1,"[{""opcao_pagamento_id"": 278348091, ""valor_entrada"": 0, ""valor_parcela"": ""485,67"", ""valor_desconto"": ""7744,66"", ""valor_negociado"": ""8230,33"", ""quantidade_parcelas"": 1, ""data_primeiro_boleto"": ""31/08/2024""}, {""opcao_pagamento_id"": 278348096, ""valor_entrada"": 0, ""valor_parcela"": ""133,1"", ""valor_desconto"": ""7431,72"", ""valor_negociado"": ""8230,33"", ""quantidade_parcelas"": 6, ""data_primeiro_boleto"": ""31/08/2024""}, {""opcao_pagamento_id"": 278348102, ""valor_entrada"": 0, ""valor_parcela"": ""66,55"", ""valor_desconto"": ""7431,72"", ""valor_negociado"": ""8230,33"", ""quantidade_parcelas"": 12, ""data_primeiro_boleto"": ""31/08/2024""}]"
3,52268232077,Fernanda Cunha,17/06/1994,Bom Pagador,83150,50010003,15/09/2020,"3225,55","64,51","8188,55",Cartão de Crédito,Loja 1,"[{""opcao_pagamento_id"": 278381382, ""valor_entrada"": 0, ""valor_parcela"": ""655,77"", ""valor_desconto"": ""10822,84"", ""valor_negociado"": ""11478,61"", ""quantidade_parcelas"": 1, ""data_primeiro_boleto"": ""31/08/2024""}, {""opcao_pagamento_id"": 278381390, ""valor_entrada"": 0, ""valor_parcela"": ""89,86"", ""valor_desconto"": ""10400,29"", ""valor_negociado"": ""11478,61"", ""quantidade_parcelas"": 12, ""data_primeiro_boleto"": ""31/08/2024""}, {""opcao_pagamento_id"": 278381396, ""valor_entrada"": 0, ""valor_parcela"": ""179,72"", ""valor_desconto"": ""10400,29"", ""valor_negociado"": ""11478,61"", ""quantidade_parcelas"": 6, ""data_primeiro_boleto"": ""31/08/2024""}]"
4,27192374008,Jose Santos,15/03/1992,Bom Pagador,84973,50010004,15/08/2020,"3734,54","74,69","9626,47",Financiamento,Loja 2,"[{""opcao_pagamento_id"": 278475945, ""valor_entrada"": 0, ""valor_parcela"": ""759,25"", ""valor_desconto"": ""12745,86"", ""valor_negociado"": ""13505,11"", ""quantidade_parcelas"": 1, ""data_primeiro_boleto"": ""31/08/2024""}, {""opcao_pagamento_id"": 278475956, ""valor_entrada"": 0, ""valor_parcela"": ""104,04"", ""valor_desconto"": ""12256,64"", ""valor_negociado"": ""13505,11"", ""quantidade_parcelas"": 12, ""data_primeiro_boleto"": ""31/08/2024""}, {""opcao_pagamento_id"": 278475962, ""valor_entrada"": 0, ""valor_parcela"": ""208,08"", ""valor_desconto"": ""12256,64"", ""valor_negociado"": ""13505,11"", ""quantidade_parcelas"": 6, ""data_primeiro_boleto"": ""31/08/2024""}]"
5,16632790046,Lorraine Maia,28/08/1995,Devedor Contumaz,87182,50010005,05/02/2020,"484,26","9,69","1430,08",Cartão de Crédito,Loja 2,"[{""opcao_pagamento_id"": 278445451, ""valor_entrada"": 0, ""valor_parcela"": ""98,46"", ""valor_desconto"": ""1825,57"", ""valor_negociado"": ""1924,03"", ""quantidade_parcelas"": 1, ""data_primeiro_boleto"": ""31/08/2024""}]"
6,41326678043,Luan De Melo,19/08/1993,Neutro,87515,50010006,10/09/2020,"2696,7","53,93","6871,05",Cartão de Crédito,Loja 2,"[{""opcao_pagamento_id"": 278496432, ""valor_entrada"": 0, ""valor_parcela"": ""548,25"", ""valor_desconto"": ""9073,43"", ""valor_negociado"": ""9621,68"", ""quantidade_parcelas"": 1, ""data_primeiro_boleto"": ""31/08/2024""}, {""opcao_pagamento_id"": 278496437, ""valor_entrada"": 0, ""valor_parcela"": ""75,13"", ""valor_desconto"": ""8720,16"", ""valor_negociado"": ""9621,68"", ""quantidade_parcelas"": 12, ""data_primeiro_boleto"": ""31/08/2024""}, {""opcao_pagamento_id"": 278496443, ""valor_entrada"": 0, ""valor_parcela"": ""150,25"", ""valor_desconto"": ""8720,16"", ""valor_negociado"": ""9621,68"", ""quantidade_parcelas"": 6, ""data_primeiro_boleto"": ""31/08/2024""}]"
7,19965899037,Guilherme Frazao,05/03/1997,Bom Pagador,89427,50010007,15/09/2020,"4160,18","83,2","10561,26",Cartão de Crédito,Loja 2,"[{""opcao_pagamento_id"": 278509117, ""valor_entrada"": 0, ""valor_parcela"": ""845,78"", ""valor_desconto"": ""13958,86"", ""valor_negociado"": ""14804,64"", ""quantidade_parcelas"": 1, ""data_primeiro_boleto"": ""31/08/2024""}, {""opcao_pagamento_id"": 278509128, ""valor_entrada"": 0, ""valor_parcela"": ""115,9"", ""valor_desconto"": ""13413,88"", ""valor_negociado"": ""14804,64"", ""quantidade_parcelas"": 12, ""data_primeiro_boleto"": ""31/08/2024""}, {""opcao_pagamento_id"": 278509134, ""valor_entrada"": 0, ""valor_parcela"": ""231,79"", ""valor_desconto"": ""13413,88"", ""valor_negociado"": ""14804,64"", ""quantidade_parcelas"": 6, ""data_primeiro_boleto"": ""31/08/2024""}]"
8,7871803000,Honorio Alves,06/05/1960,Neutro,93047,50010008,10/04/2019,"1012,95","20,26",3558,Cartão de Crédito,Loja 3,"[{""opcao_pagamento_id"": 278414701, ""valor_entrada"": 0, ""valor_parcela"": ""171,5"", ""valor_desconto"": ""4419,71"", ""valor_negociado"": ""4591,21"", ""quantidade_parcelas"": 1, ""data_primeiro_boleto"": ""31/08/2024""}]"
9,48249984099,Dalton Pereira,26/03/1969,Devedor Contumaz,94008,50010009,10/09/2020,"2208,88","44,18","5628,11",Cartão de Crédito,Loja 3,"[{""opcao_pagamento_id"": 278540687, ""valor_entrada"": 0, ""valor_parcela"": ""449,08"", ""valor_desconto"": ""7432,09"", ""valor_negociado"": ""7881,17"", ""quantidade_parcelas"": 1, ""data_primeiro_boleto"": ""31/08/2024""}, {""opcao_pagamento_id"": 278540692, ""valor_entrada"": 0, ""valor_parcela"": ""123,08"", ""valor_desconto"": ""7142,72"", ""valor_negociado"": ""7881,17"", ""quantidade_parcelas"": 6, ""data_primeiro_boleto"": ""31/08/2024""}, {""opcao_pagamento_id"": 278540698, ""valor_entrada"": 0, ""valor_parcela"": ""61,54"", ""valor_desconto"": ""7142,72"", ""valor_negociado"": ""7881,17"", ""quantidade_parcelas"": 12, ""data_primeiro_boleto"": ""31/08/2024""}]"
10,28200944069,Lidiomar Soares,21/05/1989,Devedor Contumaz,174294,50010010,10/04/2021,"1495,85","29,92","3221,98",Cartão de Crédito,Loja 3,"[{""opcao_pagamento_id"": 278417096, ""valor_entrada"": 0, ""valor_parcela"": ""304,11"", ""valor_desconto"": ""4443,64"", ""valor_negociado"": ""4747,75"", ""quantidade_parcelas"": 1, ""data_primeiro_boleto"": ""31/08/2024""}, {""opcao_pagamento_id"": 278417101, ""valor_entrada"": 0, ""valor_parcela"": ""83,35"", ""valor_desconto"": ""4247,68"", ""valor_negociado"": ""4747,75"", ""quantidade_parcelas"": 6, ""data_primeiro_boleto"": ""31/08/2024""}]"
